Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size
94,Cork Oak,0,Quercus suber,['sun'],10,"Cork Oak is a medium to large evergreen tree of which the bark is the source of commercial cork. Cork Oak is a useful shade tree for dry hot climates, but fairs better where relative humidity is not excessive. The rich evergreen foliage and corky bark are ornamental highlights.",{'green'},{'spring'},TRUE,"[40, 60]","[40, 60]",Prone to root rots in wet soils. Fungal problems can develop on the foliage in high humidity environments.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/quercussuber3.jpg,['tree'],"['medium', 'large']"
95,Prairie Flameleaf Sumac,0,Rhus lanceolata,['sun'],10,"Prairie Flameleaf Sumac is a small native Texas tree that suckers to form colonies. The large pinnately compound leaves and moderately coarse sparsely branched limbs result in a rather unattractive winter form, but the dark glossy green leaflets in summer and super red fall color are serviceable. Yellow-green flowers are mildly interesting in summer and the terminal clusters of red-brown drupes on female trees add fall and early winter interest. This species can be a seriously invasive weed and rarely the sap can be a dermal irritant to some people. Finer textured than most other tree-form Rhus spp., but still coarse in winter.","{'yellow', 'green'}",{'summer'},TRUE,"[10, 15]","[10, 15]",Easily grown in all but soggy soils; avoid pruning back the trunk or damaging the bark to decrease suckering; very drought and heat tolerant.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/rhuslanceolata2.jpg,"['shrub', 'tree']","['small', 'large']"
96,Mexican Feathergrass,0,Stipa tenuissima (Nassella tenuissima),"['sun', 'partial sun']",10,"Mexican Feathergrass is a small clump-forming extremely fine textured grass with a tuft of soft wiry windswept leaves. Leaves are a bright to soft green in summer, turning tan in winter, and waving softly in the slightest breeze. This species serves as an outstanding fine textured accent for arid climates.",set(),"{'fall', 'summer'}",TRUE,"[1.0, 2.5]","[1.0, 2.5]",Intolerant of poorly drained soils and high humidity environments. This species tends to be short-lived in humid environments.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/stipatennuisima3.jpg,"['perennial', 'groundcover', 'grass']",['small']
97,Smooth Sumac,0,Rhus glabra,['sun'],10,"Smooth Sumac is a widely distributed North American native shrub or small tree with moderately coarse textured dark glossy green summer foliage and firey red fall color. Individual plants have mostly hemispherical crowns, but tend to sucker to form spreading colonies. Intermediate between Rhus typhina and Rhus lanceolata in coarseness of texture. Useful primarily in naturalized landscapes.","{'yellow', 'green'}",{'summer'},TRUE,"[10, 15]","[10, 15]",Grows nearly anywhere that is not permanently wet; can be a serious weed problem; sap can cause dermal irritation in a few people.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/rhusglabra4.jpg,"['shrub', 'tree']","['small', 'large']"
98,Fragrant Sumac,0,Rhus aromatica,['sun'],10,"Fragrant Sumac is typically a fine textured shrub with dark glossy green leaves above with pubescence beneath resulting in a gray-green summer color. The foliage is aromatic, desirable to some, the source of the common name Shunk Bush to others. The foliage turns good combinations of yellow, orange, and red in autumn. A very tought underutilized shrub for xeriscapes and low maintenance gardens.","{'yellow', 'green'}",{'spring'},TRUE,"[2, 8]","[4, 10]",Very useful plant that deserves more selection and trial work; West Texas native that has found limited use in the Midwest and Northeastern USA; low growing forms have been selected.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/rhusaromatica2.jpg,['shrub'],"['small', 'medium']"
99,Mexican Hat,0,Ratibida columnaris,"['sun', 'partial sun']",10,"Mexican Hat is a popular Texas wildflower that has found favor in informal cultivated landscapes. A weak herbaceous perennial or reseeding annual, Mexican Hat provides vivid yellow to red flowers in spring, tends to decline in the heat of summer, and then frequently returns to flower in autumn. It is an upright rounded mound that tends to become floppy when over-irrigated.","{'red', 'yellow'}","{'fall', 'spring', 'summer'}",FALSE,"[1.5, 3.0]","[1.0, 2.0]",Probably more effective as a reseeding annual than as a perennial. Summer irrigation will reduce decline and promote flowering.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/ratibida.jpg,"['perennial', 'annual']","['small', 'medium']"
100,Powis Castle Artemisia,0,Artemisia,['sun'],10,"Powis Castle Artemisia is a hybrid clone, perhaps orginating from a cross between Artemisia absinthium and Artemisia arborescens. This cultivar offers a short spreading mound of soft-textured fern-like foliage that emerges gray-green and turns a stunning silver-white as it matures. It is the only mounding fern-leaf Artemisia suitable for widespread use in Texas, the other clones tend to melt in our summer heat.",{'yellow'},{'spring'},FALSE,"[1, 2]","[4, 6]","While Powis Castle survives our peak summer, its best growth is achieved during spring and autumn. A rapid grower, this plant tends to become ratty and eventually declines in vigor unless pruned back rather severely at least once a year. Avoid pruning in the heat of summer.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/artemisia.jpg,"['perennial', 'shrub']",['small']
101,White Sage,0,Artemisia ludoviciana,"['sun', 'partial sun']",10,"White Sage is an upright suckering herbaceous perennial with siver-gray foliage. White Sage spreads via aggressive underground rhizomes, so it needs to have a restrained root zone or to be placed where its spreading tendencies can be accommodated. Good for naturalized or low maintenance landscapes; adds a nice vertical form to landscapes. White Sage is a Texas native.",{'yellow'},{'spring'},FALSE,"[2, 4]","[0, 20]","Very tolerant of heat and caliche soils, best if pruned back in winter.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/artemisialudoviciana.jpg,"['perennial', 'groundcover']","['small', 'medium']"
102,California Poppy,0,Eschscholzia californica,"['sun', 'partial sun']",9.01,California Poppies are weak perennials used as outstanding cool season annuals in much of Texas. Eschscholzia californica subsp. mexicana is native to extreme West Texas. This plant's dense mound of blue-green fern-like leaves provides a perfect contrast to the bright orange cup-shaped flowers. As effective in naturalized settings as well as in formal plantings. Fall plant for best results.,{'orange'},{'spring'},TRUE,"[1, 2]","[1, 2]",Suitable to almost any sunny well drained site; rotate planting sites every couple of years to avoid build-up of sclerotinia fungi.,2,1,0,2,0,http://ekps.tamu.edu//images/plants/eschscholziacalifornica.jpg,"['perennial', 'annual']","['small', 'medium']"
103,Dusty Miller,0,Senecio cineraria,"['sun', 'partial sun']",9.01,"Dusty Miller is a subtropical perennial or woody subshrub more commonly used as a summer annual. The primary asset is silver-gray to silver-white highly lobed foliage. The small yellow flowers produced in the second year are mildly attractive, but signal the opening up of the plant and the end of its useful life as a compact bedding plant. Dusty Miller foliage contrasts well with dark green foliage plants or those with yellow or red flowers.",{'yellow'},{'spring'},FALSE,"[3, 12]","[0.6666666666666666, 1.0]","Typically planted as a spring or summer annual; overwinters in southern half to two-thirds of Texas and is removed after flowering in the second spring, effectively a biennial usage.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/senecioc.jpg,"['perennial', 'shrub', 'annual', 'tropical']",['small']
104,Poppies,0,Papaver spp.,"['sun', 'partial sun']",9.01,"Poppies constitute a genera of spring flowering herbaceous perennials and cool season annuals. The primary attraction is the large cup to saucer-shaped flowers with tissue paper-like petals. Colors range in the bright to pastel reds, oranges, pinks, yellows, and whites. In many species the foliage is rosette-like. Most die or go dormant in the heat of Texas' summers.","{'red', 'white', 'pink', 'yellow'}",{'spring'},TRUE,"[5, 18]","[0.5, 1.0]","Most species require a well drained soil, as they are prone to crown rots.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/papeverarheus.jpg,"['perennial', 'annual']",['large']
105,Johnny-Jump-Up,0,Viola tricolor,"['sun', 'partial sun']",9.01,"Johnny-Jump-Up is a miniature version of Pansies (Viola x wittrockiana) with smaller flowers that typically have purple, blue, and yellow all on the same flower. Suitable for similar uses as pansy; sometimes naturalized in East and Central Texas; also known as European Wild Pansy.","{'blue', 'yellow'}","{'fall', 'spring', 'winter'}",FALSE,"[0.3333333333333333, 0.6666666666666666]","[0.5, 0.8333333333333334]",Creates a finer textured bedding plant than pansies; suitable for naturalizing.,2,1,0,2,0,http://ekps.tamu.edu//images/plants/violatricolor.jpg,['annual'],['small']
106,Annual Fountain Grass or Crimson Fountaingrass,0,Pennisetum setaceum,"['sun', 'partial sun']",9,"Annual Fountain Grass is a fantastic summer annual for the northern three-fours of Texas and can be used as a herbaceous perennial in USDA zone 9b. The species type is seldom seen, with most cultivars in the trade derived from the red-leaved forms. The plants form an upright rounded fountain of usually bronze or red-green leaves topped from mid-summer to late fall by narrow bottle-brush or foxtail-like flower spikes ranging from off-white to red-bronze. Plants add much movement to the landscape in the slightest breeze.","{'red', 'white'}","{'fall', 'summer'}",TRUE,"[3, 4]","[1.5, 2.5]","Very versatile species sometimes escaping cultivation; often marketed as a perennial in much of Texas, but only reliably so in southern portions of USDA zone 9; if it does return in zones 9a and 8b it tends to lack vigor.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/penisetumsetaceum5.jpg,"['perennial', 'grass', 'annual', 'tropical']","['small', 'medium']"
107,Common Sunflower,0,Helianthus annuus,['sun'],9,"Common Sunflowers are old fashioned favorites for backyard gardens. They have enjoyed a resurgence in popularity in recent years with intensive breeding efforts that have yielded cultivars that are only 2 ft tall to giants that are over 10 ft tall. Likewise, the range of colors has increased from yellow to red, ornages, and rusts.","{'maroon', 'red', 'yellow'}","{'fall', 'spring', 'summer'}",TRUE,"[2, 10]","[1, 2]","Unless repeatedly deadheaded, plants tend to a determinant growth, usually playing out in mid-summer.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/helianth.jpg,['annual'],"['small', 'medium']"
108,Mexican Mint Merigold,0,Tagetes lucida,"['sun', 'partial sun']",9,Mexican Mint Merigold is an effective late summer to autumn blooming perennial (USDA zone 8 or warmer) or annual. This upright grower is topped in fall by masses of small yellow daisy-like flowers; a great butterfly plant.,{'yellow'},"{'fall', 'summer'}",FALSE,"[2, 3]","[1, 2]","Easily grown warm season annual or perennial; trouble is convincing people to plant it in spring when the payoff is months away; delayed gratification is a hard sell. Tagetes lemmonii, Copper Canyon Daisy, may be even more impressive in bloom.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/tageteslemonii.jpg,"['perennial', 'annual']",['small']
109,Rose-Of-Sharon or Shrub Althea,0,Hibiscus syriacus,"['sun', 'partial sun']",9,Rose-Of-Sharon is a favorite deciduous shrub of days past. Rose-Of-Sharon forms an upright leggy crown. Late spring or early summer mallow-like flowers in a range of colors are the primary attraction. The species is plagued with a number of pest problems.,"{'blue', 'white', 'pink', 'maroon'}","{'spring', 'summer'}",TRUE,"[10, 12]","[5, 7]","Widely adapted shrub as long as soils are not permanently wet. Cold hardiness is marginal in USDA zone 5a. Plagued by aphids, spider mites, and white fly which often result in deformed flowers, plagiotrophic new growth, and sooty mold; volunteer seedlings can also become weedy.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/hibiscussyriacus3.jpg,"['shrub', 'tree']","['small', 'large']"
110,Common Oleander,0,Nerium oleander,"['sun', 'partial sun']",9,"Nerium oleander is a classic subtropical or warm temperate evergreen shrub. Useful in the southern half of Texas, the Common Oleander is a large suckering shrub or rarely multi-stem small tree. Common Oleander is valued for its dark green foliage, flamboyant late spring / early summer flowers, and tolerance to heat, drought, and salt spray. Caution, all portions of Nerium oleander are highly poisonous!!!","{'red', 'white', 'pink', 'yellow'}","{'spring', 'summer'}",TRUE,"[8, 20]","[8, 10]","Common Oleander is a very adaptable shrub that can be grown on most any soil. It is tolerant of both soil and foliar salt exposure, hence it is frequently utilized in coastal landscapes. Cold temperatures are the primary limiting factors, but aphids, scale insects, and fastidious xylem inhabiting bacteria can also be damaging.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/neriumoleander.jpg,"['shrub', 'tree', 'tropical']","['small', 'medium', 'large']"
111,Shore Juniper,0,Juniperus conferta,['sun'],9,Shore Juniper is a dense groundcover suitable for general landscape use in sunny locations. Taller and softer textured than most of the groundcover Juniperus spp. Attractive green to blue-green foliage.,set(),{'spring'},TRUE,"[1.0, 2.0]","[5, 7]","Somewhat tempermental to establish; as a young plant it has a narrow range between adequate and too much water; once established drought, heat, and salt tolerant; requires excellent drainage.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/juniperusconferta2.jpg,"['groundcover', 'shrub']",['small']
112,Vanhoutte Spirea,0,Spiraea x vanhouttei,"['sun', 'partial sun']",9,"Vanhoutte Spirea is typical of the white flowering spring blooming Spiraea spp. Most are spectacular for two weeks in the spring, mediocre at best the rest of the year. Vanhoutte Spirea is a medium to large deciduous shrub with a fountain-like form; a ratty look tends to develop with old age. The fine textured summer foliage is green to blue-green; fall color is yellow-green in much of Texas, sometimes orange-red.",{'white'},{'spring'},FALSE,"[4, 10]","[4, 8]",Vanhoutte Spirea is a durable shrub suitable for use in shrub borders and low maintenance landscapes. Fairly heat and moderately drought tolerant; tolerates mildly salty irrigation water. Benefits from an occasional renewal pruning. Can be stretched into sheltered locations in USDA zone 3. Better heat and drought tolerance than Spiraea x bumalda.,2,1,0,2,0,http://ekps.tamu.edu//images/plants/spireaxv.jpg,['shrub'],"['medium', 'large']"
113,Nellie R. Stevens Holly,0,Ilex,"['sun', 'partial sun']",9,"Ilex x 'Nellie R. Stevens' is a large dense shrub or small tree with an upright oval crown. This female clone is valued for its dark glossy green foliage and masses of bright red berries in autumn and winter. This clone is parthenocarpic, setting some fruit without a male pollenator.",{'green'},{'spring'},TRUE,"[15, 25]","[5, 8]","While Ilex cornuta is one of the parental species in this hybrid clone, Nellie R. Stevens Holly is not quite as heat or drought tolerant and tends to develop foliar chlorosis on neutral to high pH soils. On the up side it is cold hardy into USDA zone 6b with protection from drying winds.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/ilexnellie2.jpg,"['shrub', 'tree']","['small', 'large']"
114,Chinese Holly,0,Ilex cornuta,"['sun', 'partial sun']",9,"Ilex cornuta is seldom represented in the trade by the species type, but rather by several of the popular cultivars. Burford, Dwarf Burford, Needlepoint, and Rotundiloba Hollies are all cultivars of Ilex cornuta. The species is valued for its dense dark glossy green foliage and red berries on female clones.",{'green'},{'spring'},TRUE,"[3, 20]","[5, 15]","While the foliage characters alone are reason to plant Ilex cornuta, it is one of the most heat, drought, salt and alkaline soil tolerant large-leaved, evergreen hollies available. Cold hardiness is marginal in USDA zone 7 for some cultivars.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/ilexcor.jpg,['shrub'],"['medium', 'large']"
115,Texas Mountain Laurel,0,Sophora secundiflora,"['sun', 'partial sun']",9,Texas Mountain Laurel is a large evergreen shrub or multi-stem small tree valued for its dark glossy green pinnately compound foliage and blue-purple spring flowers that smell like grape bubblegum. The plant is equally striking as a shrub or limbed up into a small tree to expose the exfoliating bark on older individuals. The bright red seeds of this species are highly poisonous.,"{'blue', 'pink'}",{'spring'},TRUE,"[8, 12]","[4, 8]","Texas Mountain Laurel requires excellent drainage or root rots will develop. Genista caterpillars (Uresiphita reversalis) are serious defoliating insects. Use of Sophora secundiflora in USDA zone 7 is possible, but damage can be expected in severe winters.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/sophorasecundiflora5.jpg,"['shrub', 'tree']","['small', 'large']"
116,Yaupon,0,Ilex vomitoria,"['sun', 'partial sun']",9,Ilex vomitoria is probably the most versatile evergreen holly for general use in Texas. This native holly has been selected for clones ranging in size and shape from small green meatballs to rocket-like columnar or weeping forms. Female clones have been selectd for outstanding red fall and winter fruit that contrast with the dark gray-green foliage.,{'green'},{'spring'},TRUE,"[4, 30]","[2, 15]","Likely the most heat, drought, and alkaline soil tolerant of the evergreen hollies. Yaupon can also tolerate temporarily soggy soils. Branches can be brittle during shipping; few insect or disease pests, put leaf rollers and scale insects are occasional problems.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/ilexvomitoria.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
117,Tree-Of-Heaven,0,Ailanthus altissima,"['sun', 'partial sun']",9,"Despite its heavenly name this species is anything but devine. This is a very weedy species with little redeeming landscape value. It is the tree everyone loves to hate. Potentially a large coarse textured deciduous tree, plants often break up before reaching their potential. This species is very weak wooded, messy, and spreads rapidly by seed and suckers to form colonies in disturbed sites. Tree-Of-Heaven is widely naturalized in many locations in North America. A very adaptive plant on a wide range of sites, very tolerant of urban conditions. Male flowers are malodorous. Female trees produce noticeable if not showy fruit. Fall colors are ineffectual. To be fair, the foliage is sort of tropical looking and the old bark is a handsome silver-grey color with the texture of elephant hide.","{'yellow', 'green'}","{'spring', 'summer'}",TRUE,"[40, 60]","[25, 40]",Verticillium wilt and wind damage can be problems. This tends to be a short-lived trashy tree suitable for intentional plantings only on the worst of sites.,2,0,0,1,0,http://ekps.tamu.edu//images/plants/ailanthusaltissima3.jpg,"['vine', 'tree', 'tropical']","['medium', 'large']"
118,Firebush,0,Hamelia patens,['sun'],9,"Firebush is grows to be a shrub in the tropics, but is most frequently used in our region as a summer annual. Shrubs have green foliage flushed red and bear large clusters of red, red-orange, to yellow narrowly tubular flowers. Flowers are highly attractive to hummingbirds and butterflies. Shrubs serve a multitude of uses in tropical regions, and provide a profusion of showy flowers as summer annuals.",set(),"{'spring', 'summer'}",TRUE,"[3, 10]","[3, 8]","Plants are drought and heat tolerant, but stunt in cool weather and should not be set out until after night temperatures warm in spring.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/hameliapatens3.jpg,"['perennial', 'shrub', 'annual', 'tropical']","['small', 'medium', 'large']"
119,Deodar Cedar,0,Cedrus deodara,"['sun', 'partial sun']",9,"Deodar Cedar is a medium to large evergreen tree of regal form. In youth the tree is pyramidal, later developing into a picturesque specimen, often with a flat-topped crown. Cultivars with more blue tinted needles than the species type have been selected and offer an alternative to the ""Blue Spruces"". Premature crown flattening due to dieback from borers, cold, or drought are common in Texas.",set(),{'summer'},TRUE,"[40, 150]","[40, 50]","Better tree for east Texas than central or west Texas. When vigorous the species tends to be too large for most suburban lots, but borers, poor soils, and cold tend to render this point moot in most of Texas.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/cedrusdeodara.jpg,['tree'],"['medium', 'large']"
120,Sugar Hackberry or Southern Hackberry,0,Celtis laevigata,['sun'],9,"Sugar Hackberry is a large deciduous tree that is native to Texas. It is frequently found in mixed to pure stands in abandoned fields where it is a colonizer. If large specimens are present on a site, then they may be worth preserving, but Sugar Hackberry is seldom planted as other trees with more ornamental value are available. The silver-gray bark with warty protrusions is mildly attractive.",{'green'},{'spring'},TRUE,"[40, 90]","[30, 50]","Tough durable tree, one or more close relatives to Sugar Hackberry are native to almost all regions of Texas.",2,0,0,1,0,http://ekps.tamu.edu//images/plants/celtislaevigata.jpg,['tree'],"['medium', 'large']"
121,Retama or Jerusalem Thorn,0,Parkinsonia aculeata,['sun'],9,"Retama is a small deciduous single to multi-stem tree with bright green bark. Its foliage is rather sparse and is both cold and drought deciduous, during which times the trunk acts as the photosynthetic organ. Needle-like thorns at the nodes on twigs and old trunks are maintenance and pedestrian hazards. The yellow flowers with red-orange throats are borne en masse in spring or early summer and then sproradically to autumn.","{'red', 'yellow', 'orange'}","{'fall', 'spring', 'summer'}",TRUE,"[15, 30]","[15, 20]","Marginally cold hardy in USDA zone 8a; very drought, salt, and heat tolerant, more tolerant of seasonally poor drainage than given credit for in the literature.",2,0,1,2,0,http://ekps.tamu.edu//images/plants/parkinsoniaaculeata6.jpg,"['shrub', 'tree']","['small', 'large']"
122,Thyrallis or Yellow Plumbago,0,Galphimia glauca (Thryrallis glauca),"['sun', 'partial sun']",9,"Thyrallis is a handsome small to medium size evergreen shrub with season long interest that is native to Mexico and Guatemala. Plants have a rounded habit, blue-green leaves, and spring to fall terminal spikes of yellow flowers. Plants can serva as general purpose evergreen shrubs in warm climates and as summer annual accents in colder climates. They work well in shrub borders, hedges, masses, and large containers.",{'yellow'},"{'fall', 'spring', 'summer'}",FALSE,"[4, 9]","[3, 6]","This species should be more frequently grown where cold hardy, very marginal in USDA zone 8b. Few problems, sometimes reported to be difficult to root from cuttings.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/galphimiaglaucacloseup.jpg,"['shrub', 'annual', 'tropical']","['small', 'medium', 'large']"
123,Montezuma Cypress,0,Taxodium mucronatum (Taxodium distichum var. mexicanum),"['sun', 'partial sun']",9,"Montezuma Cypress is potentially a large massive conifer, but is often similar in size to the Common Baldcypress (Taxodium distichum) in our region. Trees are evergreen in warmer climates, so semievergreen or tardily deciduous in cold regions. In youth Montezuma Cypress develops a broader more irregular crown than Common Baldcypress, but later develops into a mostly pyramidal tree. This species is similarly tolerant of wet soils and periodic flooding, but is much faster growing than Common Baldcypress. This is a handsome species with potentially better adaptation to the higher pH soils in our region. Although native to the Southern Rio Grande Valley, this species is most widely distributed in Mexico.",set(),{'spring'},TRUE,"[50, 50]","[20, 30]","The ultimate cold tolerances of this species are not known, but plants have survived without damage in zone 7b.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/taxodiummucronatum3.jpg,['tree'],"['medium', 'large']"
124,Engelman's Prickly Pear,0,Opuntia engelmannii,['sun'],9,Engelman's Prickly Pear is the most commonly encountered of the larger prickly pear taxa in Texas. Prickly Pear Cacti are mostly shrubs or small trees with pad-like stem segments that function as the photosynthetic organs and eventually become woody forming a trunk on taller growing species. Beautiful yellow cup-shaped flowers and interesting red-purple fruit are assets. The larger spines and smaller spines (glochids) at the aureoles are formidable maintenance problems and serve the plant well when used as a barrier. A staple of cultivated and non-cultivated West Texas landscapes. Classic xeriscape plants.,{'yellow'},"{'spring', 'summer'}",TRUE,"[6, 10]","[0, 20]",Incredible heat and drought tolerance; good salt tolerance; avoid poorly drained soils; cochineal scale and squash bugs can mar the appearance of this and many other Cacti.,2,0,0,1,0,http://ekps.tamu.edu//images/plants/opuntia.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
125,Monkey Grass,0,Ophiopogon japonica,"['partial sun', 'shade']",9,"Clump forming ground cover spreading by rhizomes. Monkey Grass has narrow, grass-like leaves, but it is not a grass. More mat-forming in growth habit than Liriope spp. Valued as a shade groundcover.",{'white'},{'summer'},TRUE,"[0.16666666666666666, 1.0]","[0, 20]","With adequate water, it will survive in full sun in Texas, but looks much better if receiving at least afternoon shade. In full sun use Lioriope spp., in shade Ophiopogon spp.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/ophiopogonjaponicum.jpg,"['perennial', 'groundcover', 'grass']","['small', 'medium']"
127,Globe Amaranth or Bachelor's Button,0,Gomphrena globosa,"['sun', 'partial sun']",9,"Globe Amaranth is often known in Texas as Bachelor's Button, but this name is more frequently associated with Centarea cyanus elsewhere. Globe Amaranth is an outstanding summer annual with excellent heat tolerance and an admirable ability to withstand drought and poor  quality irrigation water.","{'white', 'pink'}","{'fall', 'spring', 'summer'}",TRUE,"[0.6666666666666666, 2.0]","[0.8333333333333334, 2.0]",Few serious limitations; actually peaks in flower late in summer or early fall; avoid poorly drained soils.,2,1,0,2,0,http://ekps.tamu.edu//images/plants/gomphrenaglobosa.jpg,['annual'],"['small', 'medium']"
128,Red Gomphrena,0,Gomphrena haageana,"['sun', 'partial sun']",9,"Red Gomphrena has recently gained acceptance in the landscape trade. While somewhat more open in growth form than Gomphrena globosa, G. haageana offers a different range of flower colors including pink, red-pink, and orange; G. haageana 'Strawberry Fields' (red-pink) and 'Orange Globe' are the more commonly encountered cultivars.","{'red', 'pink', 'orange'}","{'fall', 'spring', 'summer'}",TRUE,"[1, 2]","[1.5, 2.5]",An excellent heat tolerant annual; should be used more extensively.,2,1,0,2,0,http://ekps.tamu.edu//images/plants/gomphrenahaageana32.jpg,['annual'],"['small', 'medium']"
129,Caricature Plant,0,Graptophyllum pictum,"['sun', 'partial sun', 'shade']",9,Caricature Plant is a medium-sized upright evergreen tropical shrub or herbaceous subtropical plant used as a summer annual or interiorscape plant. It is valued for the handsome coarse-textured variegated foliage and ability to retain its foliage color and density nearly equally well in full sun to moderate shade.,{'red'},"{'spring', 'summer'}",FALSE,"[2, 8]","[2, 5]","Nematodes, spider mites, and thrips can be occasional pests; fertilize periodically to maximize vegetative growth.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/graptophyllumpictumwaimea2.jpg,"['perennial', 'shrub', 'interiorscape', 'annual', 'tropical']","['small', 'medium']"
130,Kentucky Coffee Tree,0,Gymnocladus dioicus,['sun'],9,This is a large coarse textured tree native to the Eastern US. This tough tree has large 1 ft to 2 ft long bipinnately compound dark green leaves and interesting platy bark on old trees.,{'green'},{'spring'},TRUE,"[40, 90]","[40, 60]","Valued for rugged consitution, but trees languish in the heat of USDA zone 8b. Parts of the pods are reportedly poisonous. Can be stark of form to a fault.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/gymnocladusdioicus3.jpg,['tree'],"['medium', 'large']"
131,Dwarf Waxmyrtle,0,Myrica pussilla,"['sun', 'partial sun']",9,Myrica pussilla is essentially a dwarf version of Myrica cerifera. This small evergreen shrub is preferable to the species type for most suburban applications as it stays more in scale with the smaller landscape.,set(),{'spring'},TRUE,"[3, 6]","[3, 6]","May be more drought tolerant than the species type, but appears to be less tolerant of poor drainage than the species.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/myricapussilla2.jpg,['shrub'],"['small', 'medium']"
132,Sago Palm,0,Cycas revoluta,"['sun', 'partial sun']",9,The Sago Palm is not a real palm (Palmaceae) but rather a distant relative of the conifers. The plant resembles a short-trunked feather palm. The dark green plastic textured pinnately lobed leaves radiate from the terminal bud in a pinwheel fashion. Basal offsets may form in old age resulting in a picturesque multi-trunk character.,{'yellow'},"{'fall', 'spring', 'summer', 'winter'}",TRUE,"[8, 10]","[6, 8]","Cold is the limiting factor, otherwise very tolerant plants handling drought, reflected heat, and wind. Most soils execpt those that are soggy or extremely alkaline. Use may be stretched into very protected microclimates of USDA zone 8b.",2,0,0,2,1,http://ekps.tamu.edu//images/plants/cycasrevoluta4.jpg,"['shrub', 'tree', 'interiorscape', 'tropical']","['small', 'medium', 'large']"
134,Staghorn Sumac,0,Rhus typhina,['sun'],9,"Staghorn Sumac is so named due to the resemblence of the pubescence covered winter stems to the horns of a stag in velvet. This rounded crown tree is one of the larger and the coarsest of the tree form sumacs. Probably the least heat tolerant of the commonly enountered tree-form sumacs. Tends to sucker and form colonies, but develops good red fall color. This taxon can be very picturesque in growth form and the flowers and fruit on female plants are quite noticeable. Less well adapted to the southern three-fourths of Texas than most sumac.",{'green'},{'summer'},TRUE,"[20, 25]","[20, 25]",Very cold hardy; possibilities for the Texas Panhandle and high elevation West Texas gardens.,1,0,0,2,0,http://ekps.tamu.edu//images/plants/rhustyph.jpg,"['shrub', 'tree']","['small', 'large']"
135,Black Locust,0,Robinia pseudoacacia,"['sun', 'partial sun']",9,Black Locust is a medium to large deciduous tree with an irregular upright oval crown of bluish green leaves. Tree sucker to form colonies and are used for reclamation work. Locust borers and locust leaf miners limit usefulness in much of our region.,{'white'},{'spring'},TRUE,"[40, 100]","[20, 40]",Fixes nitrogen via symbiotic bacteria in roots. A favorite species for fence post production. Tends to naturalize readily outside its native range and can become a weed under certain conditions. Used heavily in strip mine reclamation and erosion control. Can develop chlorosis on high pH soils.,2,0,0,1,0,http://ekps.tamu.edu//images/plants/robiniapseudoacacia8.jpg,['tree'],"['medium', 'large']"
136,Lantana,0,Lantana spp.,['sun'],9,"Lantanas constitute one of the most widely utilized genera of subtropical shrubs or summer annuals in Texas. Numerous cultivars with a wide range of flower colors and growth habits are availble. Some form groundcovers only 1 ft or so tall while others are rounded shrubs reaching 6 ft in height. The dark green foliage is prickly with a pungent scent. Some form shrubs, others herbaceous perennials, and still other are annuals  depending upon the cultivar and location of growth.","{'red', 'pink', 'yellow', 'orange', 'white'}","{'fall', 'spring', 'summer'}",TRUE,"[1, 6]","[3, 6]","Extremely durable plant, tolerates nearly any soil that is not permanently wet. Cold hardiness limits use as a shrub in central and north Texas, tends to cycle in and out of flower, spider mites and a leaf miner are occasional problems.",2,1,0,2,0,http://ekps.tamu.edu//images/plants/lantanng.jpg,"['perennial', 'groundcover', 'shrub', 'annual', 'tropical']","['small', 'medium']"
