Sun Exposure,Color,Blooming Period,Fruit?,Type,Size,Score,Plant,Good?
sun,pink,winter,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
sun,blue,spring,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
sun,red,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,spring,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,TRUE,perennial,large,10.0,Giant Turk's Cap,False
shade,orange,winter,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,pink,winter,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
sun,white,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,spring,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,winter,FALSE,perennial,large,10.0,Pam's Pink American Honeysuckle,True
sun,pink,spring,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,summer,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,spring,FALSE,perennial,medium,10.0,Mexican Zinnia,True
partial sun,red,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,False
sun,pink,spring,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,True
sun,blue,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,True
sun,pink,spring,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,summer,TRUE,perennial,small,10.0,Giant Turk's Cap,False
sun,red,fall,FALSE,vine,small,10.0,Giant Turk's Cap,False
sun,white,fall,FALSE,perennial,small,10.0,Giant Turk's Cap,True
partial sun,blue,fall,TRUE,perennial,large,10.0,Giant Turk's Cap,False
shade,yellow,fall,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,yellow,winter,FALSE,shrub,large,10.0,Giant Turk's Cap,True
partial sun,red,spring,FALSE,vine,small,10.0,Giant Turk's Cap,True
sun,orange,summer,TRUE,perennial,medium,10.0,Mexican Zinnia,False
shade,red,fall,TRUE,annual,medium,10.0,Mexican Zinnia,False
sun,orange,spring,FALSE,tropical,small,10.0,Mexican Zinnia,True
sun,red,summer,TRUE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,white,fall,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
partial sun,pink,spring,TRUE,vine,small,10.0,Giant Turk's Cap,False
partial sun,white,fall,FALSE,perennial,small,10.0,Giant Turk's Cap,False
sun,pink,winter,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,orange,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,fall,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,fall,FALSE,annual,medium,10.0,Mexican Zinnia,False
sun,pink,fall,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,spring,TRUE,shrub,medium,10.0,Giant Turk's Cap,True
shade,orange,winter,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
sun,white,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,white,summer,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,red,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,white,fall,FALSE,vine,small,10.0,Giant Turk's Cap,False
partial sun,blue,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,pink,summer,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,summer,TRUE,vine,medium,10.0,Mexican Zinnia,False
shade,blue,spring,FALSE,shrub,medium,10.0,Mexican Zinnia,True
shade,orange,winter,TRUE,perennial,medium,10.0,Mexican Zinnia,True
partial sun,white,spring,FALSE,annual,large,10.0,Giant Turk's Cap,False
shade,orange,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,False
partial sun,white,summer,TRUE,annual,small,10.0,Giant Turk's Cap,True
sun,orange,fall,FALSE,tropical,medium,10.0,Mexican Zinnia,False
partial sun,blue,fall,FALSE,shrub,large,10.0,Giant Turk's Cap,True
sun,pink,fall,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,orange,spring,FALSE,vine,medium,10.0,Mexican Zinnia,False
shade,yellow,spring,FALSE,annual,small,10.0,Mexican Zinnia,True
partial sun,orange,spring,TRUE,perennial,medium,10.0,Giant Turk's Cap,True
sun,red,winter,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,summer,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,summer,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,spring,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,winter,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,spring,TRUE,annual,small,10.0,Giant Turk's Cap,False
shade,white,summer,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,white,winter,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,summer,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,summer,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,FALSE,vine,large,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,red,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,spring,FALSE,tropical,large,10.0,Mexican Zinnia,False
sun,white,spring,FALSE,shrub,small,10.0,Mexican Zinnia,False
shade,white,summer,FALSE,shrub,large,10.0,Mexican Zinnia,False
shade,orange,winter,TRUE,vine,medium,10.0,Mexican Zinnia,False
shade,yellow,fall,TRUE,tropical,medium,10.0,Mexican Zinnia,False
partial sun,white,fall,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,white,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,red,fall,FALSE,shrub,small,10.0,Giant Turk's Cap,False
shade,white,spring,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
partial sun,white,winter,FALSE,perennial,large,10.0,Pam's Pink American Honeysuckle,True
sun,orange,fall,FALSE,annual,medium,10.0,Mexican Zinnia,False
shade,yellow,summer,TRUE,tropical,small,10.0,Mexican Zinnia,False
sun,white,spring,FALSE,tropical,large,10.0,Mexican Zinnia,False
shade,white,winter,FALSE,shrub,small,10.0,Mexican Zinnia,False
partial sun,red,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
partial sun,blue,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,white,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
sun,orange,summer,TRUE,vine,medium,10.0,Mexican Zinnia,False
partial sun,blue,spring,FALSE,perennial,small,10.0,Giant Turk's Cap,False
sun,red,summer,TRUE,vine,large,10.0,Giant Turk's Cap,False
sun,red,spring,TRUE,vine,medium,10.0,Giant Turk's Cap,False
sun,blue,summer,FALSE,vine,medium,10.0,Giant Turk's Cap,False
sun,pink,fall,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
sun,white,spring,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,summer,FALSE,perennial,large,10.0,Giant Turk's Cap,True
partial sun,orange,fall,FALSE,annual,small,10.0,Giant Turk's Cap,False
shade,blue,winter,TRUE,vine,small,10.0,Giant Turk's Cap,True
partial sun,yellow,spring,FALSE,perennial,large,10.0,Giant Turk's Cap,False
partial sun,white,fall,TRUE,vine,large,10.0,Giant Turk's Cap,False
shade,red,spring,TRUE,shrub,medium,10.0,Giant Turk's Cap,False
partial sun,red,fall,FALSE,annual,small,10.0,Giant Turk's Cap,True
partial sun,white,winter,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
sun,white,summer,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,True
sun,blue,fall,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,True
shade,yellow,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,True
shade,pink,summer,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,True
shade,pink,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,summer,FALSE,annual,small,10.0,Giant Turk's Cap,False
partial sun,orange,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
shade,orange,summer,FALSE,vine,large,10.0,Giant Turk's Cap,True
partial sun,white,fall,TRUE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,summer,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,True
shade,orange,spring,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,winter,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,True
partial sun,pink,summer,FALSE,annual,small,10.0,Giant Turk's Cap,False
shade,yellow,spring,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
sun,yellow,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,red,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,summer,TRUE,perennial,large,10.0,Giant Turk's Cap,False
shade,yellow,summer,TRUE,perennial,small,10.0,Giant Turk's Cap,False
shade,white,fall,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
sun,yellow,fall,FALSE,perennial,small,10.0,Mexican Zinnia,True
sun,orange,summer,TRUE,perennial,large,10.0,Mexican Zinnia,False
sun,orange,spring,TRUE,perennial,small,10.0,Mexican Zinnia,False
shade,white,spring,TRUE,annual,small,10.0,Mexican Zinnia,False
shade,red,winter,FALSE,annual,medium,10.0,Mexican Zinnia,True
sun,pink,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
sun,orange,summer,TRUE,perennial,large,10.0,Mexican Zinnia,False
shade,blue,fall,FALSE,shrub,medium,10.0,Mexican Zinnia,False
shade,white,fall,FALSE,vine,large,10.0,Mexican Zinnia,False
partial sun,white,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,False
sun,yellow,fall,FALSE,vine,small,10.0,Mexican Zinnia,False
sun,blue,spring,TRUE,annual,large,10.0,Mexican Zinnia,False
shade,red,winter,FALSE,vine,medium,10.0,Mexican Zinnia,False
partial sun,white,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,blue,summer,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,spring,FALSE,tropical,medium,10.0,Mexican Zinnia,True
sun,orange,fall,TRUE,shrub,small,10.0,Mexican Zinnia,False
sun,orange,spring,TRUE,vine,large,10.0,Mexican Zinnia,True
partial sun,yellow,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,False
shade,red,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,True
partial sun,white,spring,TRUE,perennial,medium,10.0,Giant Turk's Cap,False
shade,red,summer,TRUE,vine,small,10.0,Giant Turk's Cap,False
sun,white,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,True
partial sun,yellow,winter,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,TRUE,annual,medium,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,summer,TRUE,vine,small,10.0,Giant Turk's Cap,True
sun,yellow,fall,TRUE,perennial,medium,10.0,Mexican Zinnia,False
shade,blue,fall,TRUE,vine,large,10.0,Mexican Zinnia,False
partial sun,white,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,winter,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,spring,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,summer,TRUE,vine,medium,10.0,Giant Turk's Cap,False
shade,orange,summer,TRUE,vine,small,10.0,Giant Turk's Cap,False
partial sun,yellow,fall,FALSE,vine,large,10.0,Giant Turk's Cap,False
partial sun,orange,fall,TRUE,annual,large,10.0,Giant Turk's Cap,True
shade,red,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
shade,white,winter,TRUE,tropical,large,10.0,Giant Turk's Cap,False
shade,blue,spring,FALSE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,red,fall,FALSE,perennial,small,10.0,Giant Turk's Cap,True
sun,yellow,fall,FALSE,annual,small,10.0,Mexican Zinnia,False
shade,white,summer,FALSE,annual,small,10.0,Mexican Zinnia,False
partial sun,pink,winter,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,fall,FALSE,shrub,large,10.0,Mexican Zinnia,False
sun,red,spring,FALSE,perennial,small,10.0,Giant Turk's Cap,False
sun,pink,summer,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,True
sun,orange,winter,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,fall,TRUE,annual,small,10.0,Giant Turk's Cap,False
shade,red,fall,TRUE,perennial,large,10.0,Giant Turk's Cap,False
shade,white,fall,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,white,fall,TRUE,vine,large,10.0,Giant Turk's Cap,True
sun,yellow,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,pink,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,True
sun,red,winter,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,red,winter,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,summer,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,True
sun,orange,fall,FALSE,annual,small,10.0,Mexican Zinnia,True
shade,blue,winter,TRUE,annual,large,10.0,Mexican Zinnia,True
sun,orange,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,True
sun,red,winter,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,True
partial sun,red,fall,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
shade,yellow,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,False
sun,orange,spring,FALSE,annual,large,10.0,Mexican Zinnia,True
partial sun,blue,fall,TRUE,shrub,medium,10.0,Giant Turk's Cap,True
sun,blue,winter,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,True
partial sun,blue,spring,TRUE,tropical,small,10.0,Giant Turk's Cap,False
shade,blue,spring,FALSE,shrub,small,10.0,Giant Turk's Cap,True
sun,red,spring,FALSE,perennial,small,10.0,Giant Turk's Cap,True
shade,pink,summer,TRUE,annual,medium,10.0,Giant Turk's Cap,True
partial sun,blue,spring,TRUE,annual,large,10.0,Giant Turk's Cap,False
sun,red,summer,FALSE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,white,summer,FALSE,vine,medium,10.0,Giant Turk's Cap,False
shade,white,winter,TRUE,vine,small,10.0,Giant Turk's Cap,False
shade,orange,spring,TRUE,annual,large,10.0,Giant Turk's Cap,True
sun,yellow,winter,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,True
shade,yellow,fall,FALSE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
shade,pink,fall,FALSE,perennial,large,10.0,Giant Turk's Cap,False
shade,yellow,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,yellow,winter,FALSE,shrub,large,10.0,Giant Turk's Cap,False
partial sun,white,winter,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,blue,summer,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,True
sun,orange,summer,TRUE,perennial,small,10.0,Mexican Zinnia,False
shade,blue,fall,TRUE,shrub,medium,10.0,Mexican Zinnia,True
shade,red,spring,FALSE,annual,large,10.0,Mexican Zinnia,False
shade,orange,spring,TRUE,annual,large,10.0,Mexican Zinnia,True
partial sun,blue,spring,TRUE,tropical,small,10.0,Giant Turk's Cap,True
shade,pink,summer,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
sun,white,summer,FALSE,vine,small,10.0,Giant Turk's Cap,True
sun,white,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,blue,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,blue,fall,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,red,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,spring,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,True
shade,blue,summer,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,spring,FALSE,perennial,large,10.0,Giant Turk's Cap,False
sun,blue,spring,FALSE,perennial,large,10.0,Giant Turk's Cap,False
shade,blue,fall,FALSE,vine,medium,10.0,Giant Turk's Cap,True
partial sun,red,summer,TRUE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,blue,spring,FALSE,vine,small,10.0,Giant Turk's Cap,False
shade,red,fall,FALSE,tropical,small,10.0,Giant Turk's Cap,False
sun,pink,spring,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,True
partial sun,yellow,winter,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,spring,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,fall,TRUE,annual,medium,10.0,Mexican Zinnia,True
sun,blue,fall,FALSE,tropical,large,10.0,Mexican Zinnia,False
sun,yellow,fall,FALSE,vine,small,10.0,Mexican Zinnia,False
partial sun,white,fall,FALSE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,True
sun,blue,summer,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,True
partial sun,white,spring,FALSE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,yellow,summer,FALSE,annual,small,10.0,Giant Turk's Cap,False
shade,pink,fall,FALSE,annual,medium,10.0,Giant Turk's Cap,False
sun,orange,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,FALSE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,pink,fall,TRUE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,yellow,summer,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,white,fall,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,blue,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,True
sun,pink,fall,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
shade,blue,fall,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
sun,blue,summer,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,fall,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,FALSE,tropical,large,10.0,Giant Turk's Cap,False
sun,yellow,summer,TRUE,perennial,medium,10.0,Mexican Zinnia,False
shade,blue,summer,TRUE,vine,large,10.0,Mexican Zinnia,False
partial sun,blue,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,blue,winter,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,True
sun,yellow,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,blue,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,tropical,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,white,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,True
partial sun,orange,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,red,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
sun,white,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,spring,TRUE,annual,small,10.0,Mexican Zinnia,True
sun,white,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,orange,fall,FALSE,annual,small,10.0,Mexican Zinnia,True
partial sun,orange,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,True
shade,yellow,spring,FALSE,annual,large,10.0,Giant Turk's Cap,False
partial sun,pink,fall,TRUE,annual,large,10.0,Giant Turk's Cap,True
partial sun,orange,fall,FALSE,tropical,small,10.0,Giant Turk's Cap,True
sun,white,spring,FALSE,tropical,large,10.0,Giant Turk's Cap,False
sun,white,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,summer,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,spring,TRUE,perennial,small,10.0,Giant Turk's Cap,True
sun,orange,summer,TRUE,perennial,medium,10.0,Mexican Zinnia,False
shade,red,spring,TRUE,perennial,medium,10.0,Mexican Zinnia,False
shade,blue,summer,TRUE,perennial,medium,10.0,Mexican Zinnia,True
sun,white,fall,FALSE,perennial,medium,10.0,Mexican Zinnia,False
sun,orange,summer,TRUE,annual,small,10.0,Mexican Zinnia,False
sun,red,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,True
shade,blue,summer,FALSE,shrub,small,10.0,Giant Turk's Cap,False
shade,pink,summer,TRUE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,pink,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,True
partial sun,pink,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,FALSE,perennial,large,10.0,Giant Turk's Cap,False
partial sun,blue,winter,FALSE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
sun,blue,spring,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,summer,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,True
sun,orange,spring,TRUE,tropical,small,10.0,Mexican Zinnia,False
shade,pink,spring,FALSE,perennial,large,10.0,Mexican Zinnia,False
shade,yellow,fall,FALSE,perennial,small,10.0,Mexican Zinnia,True
shade,yellow,spring,TRUE,annual,medium,10.0,Mexican Zinnia,False
shade,white,spring,FALSE,tropical,small,10.0,Mexican Zinnia,False
partial sun,blue,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,summer,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,winter,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,fall,FALSE,perennial,large,10.0,Giant Turk's Cap,False
shade,red,fall,TRUE,vine,medium,10.0,Giant Turk's Cap,False
shade,pink,fall,TRUE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,orange,spring,FALSE,vine,small,10.0,Giant Turk's Cap,False
sun,red,spring,TRUE,shrub,large,10.0,Giant Turk's Cap,False
partial sun,blue,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,spring,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
sun,yellow,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,fall,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,summer,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,fall,FALSE,shrub,small,10.0,Giant Turk's Cap,False
sun,orange,summer,FALSE,tropical,small,10.0,Mexican Zinnia,False
partial sun,yellow,spring,TRUE,shrub,large,10.0,Giant Turk's Cap,False
sun,red,summer,FALSE,vine,small,10.0,Giant Turk's Cap,False
partial sun,red,winter,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,spring,TRUE,tropical,small,10.0,Mexican Zinnia,False
shade,yellow,spring,FALSE,tropical,large,10.0,Mexican Zinnia,False
partial sun,pink,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,False
sun,yellow,winter,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,True
shade,orange,fall,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,True
sun,orange,summer,TRUE,shrub,medium,10.0,Mexican Zinnia,False
sun,white,winter,TRUE,tropical,small,10.0,Pam's Pink American Honeysuckle,True
sun,red,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,True
shade,red,winter,FALSE,annual,large,10.0,Giant Turk's Cap,False
partial sun,white,spring,FALSE,tropical,large,10.0,Giant Turk's Cap,False
sun,orange,summer,FALSE,perennial,large,10.0,Mexican Zinnia,False
shade,blue,winter,FALSE,shrub,small,10.0,Mexican Zinnia,False
sun,yellow,fall,FALSE,perennial,medium,10.0,Mexican Zinnia,True
sun,orange,spring,FALSE,annual,large,10.0,Mexican Zinnia,False
partial sun,orange,fall,TRUE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,red,summer,TRUE,annual,medium,10.0,Giant Turk's Cap,False
partial sun,white,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,True
sun,orange,summer,FALSE,vine,small,10.0,Mexican Zinnia,False
partial sun,blue,winter,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,red,fall,FALSE,annual,medium,10.0,Giant Turk's Cap,True
sun,yellow,spring,FALSE,vine,medium,10.0,Mexican Zinnia,False
shade,blue,spring,TRUE,perennial,medium,10.0,Mexican Zinnia,True
partial sun,blue,spring,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
partial sun,red,spring,TRUE,shrub,large,10.0,Giant Turk's Cap,False
sun,pink,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,True
sun,blue,fall,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,fall,TRUE,annual,small,10.0,Giant Turk's Cap,False
sun,blue,summer,FALSE,shrub,small,10.0,Giant Turk's Cap,True
