Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Southern Red Oak,0,Quercus falcata,sun,9,"Southern Red Oak is a large deciduous tree of the Southeastern US forests. Its large size makes it more suitable to park and naturalized landscapes, rather than small suburban lots. It has handsome lustrous olive green leaves and produces large quantities of acorns for wildlife.","Medium tree, large tree","Green to yellowish green, monoecious, females inconspicuous, males in catkins",Spring,"0.5 inch rounded acorn, pubescent and striated, orange-brown to red-brown in color",840,600,10,Susceptible to oak wilt. Fast growing for an oak and readily transplanted.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Mexican Fan Palm,0,Washingtonia robusta,"sun, partial sun",9,"Mexican Fan Palms are the tallest and fastest growing of the widely planted palms in Texas, but are unfortunately not as cold hardy as most of the other palm species planted in Texas. While frequently listed as cold hardy in USDA zone 8, damage is common and occasional cold winters may wipe them out. Washingtonia filifera is a shorter , stockier, more cold hardy version of W. robusta, but is unfortunately much slower growing, harder to obtain, and is more expensive. Worth planting with a knowledge of its limitations. Attractive  as a tropical accent, possible street tree, high light interiorscapes, or in theme gardens.","Medium tree, large tree, tropical, interiorscape","Small white flowers on pendent inflorescences, not particularly ornamental","Spring, summer",Small blue-black to brown-black berry-like fruit,660,150,None,"Quite adaptable aside from cold limitations, moderately salt tolerant. Wicked thorns on leaf stalks are a major maintenance liability.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Red Oak,0,Quercus buckleyi (Quercus texana),sun,9,"Texas Red Oak is a medium size decidous tree that is a western counterpart to the Shumard Oak. Texas Red Oaks have smaller leaves and are smaller trees than Shumard Oaks, but are generally more drought and high pH soil tolerant. This is a handsome shade, park and street tree for Central and West Texas. Good for smaller suburban lawns. May develop a good red fall color.",Medium tree,"Green to yellowish green, monoecious, females inconspicuous, males in catkins",Spring,Acorns,480,480,10,Single or multi-stems in the wild. Needs well drained soils.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Oriental Arborvitae,0,Platycladus orientalis,"sun, partial sun",9,"Oriental Arborvitae is a large evergreen shrub or small tree. Crown shape is variable ranging from narrowly pyramidal to rounded. The plant looks deceptively small in youth, but can occasionally reach medium tree size. The tree tends to maintain multiple leaders and the crown tends to split under snow and ice loads. The foliage can develop a brownish cast in winter in cold climates.","Shrub, large shrub, spreading conifer, tree, small tree, medium tree",Not ornamental,Spring,Small round woody cone,210,168,8,"Very adaptable, tolerates heat, drought, salty soils and high pH. While Oriental Arborvitae is very drought tolerant, it is intolerant of soil disturbance and excess soil moisture. Bagworms and spider mites are the primary limitations, while juniper blight and leaf miners can be occasional problems.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Arizona Cypress,0,Cupressus arizonica,sun,9,"Arizona Cypress is a medium to large evergreen tree with small scale-like green, gray-green, to silver-blue leaves. Trees are narrowly conical in youth broadening somewhat with age. Old specimens have attractive exfoliating or fissured red-brown to black-brown bark.","Tree, medium tree, large tree","Monoecious, not ornamental, pollen causes allergic reactions in some people",Spring,"Small globular cone, not important",205,180,8,"Can be grown in most regions of Texas, but does not tolerate poorly drained soils; great heat and drought tolerance; rapid grower, excess nitrogen fertilization reduces cold tolerance. Serious problems with trunk / bark borers, red spider mites, and some cankers diseases.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Ice Plants,0,Delosperma spp.,"sun, partial sun",9,"Two species are prominent in the nursery trade; Delosperma cooperi has purple flowers and silver-green succulent foliage, while Delosperma nubigenum has yellow flowers; D. cooperi is more heat and drought tolerant than D. nubigenum, but is the least cold hardy of the two species. Good as groundcovers for hot dry sites and in rock gardens.","Perennial, groundcover",Purple to yellow,"Spring, summer, fall",Not ornamental,5,0,None,Water only during drought; nearly any soil as long as it is well drained.,High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Italian Cypress,0,Cupressus sempervirens,sun,9,Italian Cypress is a very narrow conifer with a spire-like evergreen canopy. These medium to large evergreen trees have green to blue-green foliage. Trees are often used in formal settings to line drives or serve as strong vertical elements in formal designs.,"Shrub, large shrub, upright conifer, tree, small tree, medium tree, topiary","None, cone-bearing.",Spring,Small globose green cones.,480,78,None,Spider mites can be bad in hot regions. Juniper blight and root rots can be serious limitions in humid regions.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Parsley Hawthorn,0,Crataegus marshallii,"sun, partial sun",9,"Parsley Hawthorn is a small single to multiple trunk tree with a strongly stratified branching habit. Parsley-like bluish green leaves, white spring flowers, red-orange fruit, and exfoliating bark are all assets. This is native Texas species found along woodland edges.","Large shrub, tree, small tree","Small, white, sometimes flushed pink, showy",Spring,"Small red-orange pomes, mildly showy",210,240,9,"Habit is similar to that of Washington Hawthorn. Although more heat tolerant than Washington Hawthorn, Parsley Hawthorn is equally susceptible to cedar-apple rust.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Rose Moss or Moss Rose,0,Portulaca grandiflora,"sun, partial sun",9,"Rose Moss is an old fashioned summer annual that has undergone extensive breeding work in recent years to produce double flower forms, broaden the color range of flowers, and to extend the opening of flowers into the afternoon. The low growing succulent foliage and riot of delicate colorful disk-shaped flowers make this a favorite for summer bedding and detail work as well as in hanging baskets. Can be used as a seasonal groundcover, but purslane (Portulaca oleracea) is more effective for this purpose.","Transition season annual, warm season annual, groundcover",Any color of the rainbow except blue,"Spring, summer, fall",Small barely noticeable capsule,8,15,None,"Good sun tolerant annual, over watering or water logged soils rot the roots.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Wintercreeper Euonymus,0,Euonymus fortunei,"partial sun, shade",9,"Wintercreeper Euonymus can serve as a climbing (aerial rootlets) vine, but is more commonly utilized as a sprawling groundcover. Various cultivars are available, many with purplish winter coloration ('Coloratus') or variegated foliage. A few cultivars are from sexually mature plant forms and are more shrubby. Useful as a groundcover in part to moderately shady locations in Texas.","Perennial, groundcover, vine","Not ornamental, seldom seen on most cultivars",Summer,"Red-orange aril covered a whitish tan leathery capsule, seen only on sexually mature clones",9,0,9,"Useful in full sun in cooler climates; subject to infestation by crown gall, euonymus scale, aphids, and anthracnose.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Glossy Abelia,0,Abelia x grandiflora,"sun, partial sun",9,"Glossy abelia is an attractive small to medium size evergreen or semi-evergreen shrub. Unpruned, glossy abelia forms an upright rounded crown of fine textured dark glossy green foliage, but can be readily sheared to other forms. In addition to the handsome foliage, glossy abelia flowers from spring to frost. Individual trumpet-shaped flowers are only 1/2 inch to 3/4 inch long, but are borne in profusion.","Small shrub, medium shrub, topiary",Pale pink fading to white,"Spring, summer, fall","Tiny papery achene, interesting but not particularly ornamental",60,48,7,Adapts to a wide range of sites but needs drainage and some moisture throughout the year. Tends to be semi-evergreen in USDA zones 7a and 6b; acting as a herbaceous perennial in 6a Good plant for the lower Panhandle and High Plains. Benefits from afternoon shade in much of the Texas. Performance in central and west Texas seldom matches that in the eastern portions of the state.,High Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Honey Mesquite,0,Prosopis glandulosa,"sun, partial sun",9,Honey Mesquite is native to large portions of our region. It is very site responsive ranging from a 30 ft tree under more mesic environments to a small shrub in desert regions. Plants cast a filtered shade and have long taproots that allow plants to survive in very arid regions. Trees can be single or multi-trunk in form.,"Shrub, small shrub, medium shrub, large shrub, tree, small tree, medium tree",Creamy white; fragrant,"Spring, summer",Pod; tan to red,300,300,10,Marginally hardy in USDA zone 6. Thorns are a maintenance liability and are more strongly exhibited on juvenile plants. Some people are allergic to the pollen. Salt and wind tolerant. Invades pastures.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Escarpment Live Oak,0,Quercus fusiformis (Quercus virginiana var. fusiformis),sun,9,"Escarpment Live Oak can be thought of as a smaller version of Live Oak (Quercus virginiana). Quercus fusiformis is more drought, high pH soil, and cold tolerant than Quercus virginiana. In large portions of Central Texas, the live oak populations are intergressive hybrids between Q. fusiformis and Q. virginiana.","Small tree, medium tree","Green, males in catkins",Spring,Elongated acorn,330,390,10,Outstanding shade tree for Central and West Texas; beware of susceptibility to oak wilt fungus.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Mexican Plum,0,Prunus mexicana,sun,9,"Mexican Plum is a handsome native small deciduous tree with a rounded crown. Trees are valued most for their showy fragrant white spring flowers. The small yellow plums are edible. This species is a good substitute in Texas for Crabapples (Malus spp.) which have troubles with cotton root rot and inaddequate winter chilling. Plants tend to be serviceable, but rather bland when not in flower. Old trunks may develop an interesting exfoliation pattern.","Shrub, large shrub, tree, small tree","White, somtimes flushed pink, in showy clusters",None,"Small plums, yellow-red to yellow-purple with a waxy bloom; edible.",210,270,10,"Texas native that can persist on minimal inputs. Fruit are an important wildlife food. Sometimes used as a rootstock for commercial Prunus clones of other species. Cotton root rot resistant, but needs well drained soils.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Black Cherry,0,Prunus serotina,sun,9,"Black Cherry is a wide ranging medium to large size deciduous North American tree that has several varieties indigenous to Texas. While the messy red-purple fruit makes Black Cherry a marginal ornamental shade tree, the wood is valued in furniture and panel crafting and is important for wildlife food and shelter. Farmers and ranchers watch for downed cherry trees and remove them immediately as the wilted leaves contain high levels of hydrogen cyanide producing compounds that can be fatal to livestock if consumed.","Medium tree, large tree",White,Spring,"Small clusters of small purple-black to red-black cherries, fleshy part of fruit used as a culinary flavoring",840,480,10,Several naturally occurring varieties of the species exist in various portions of Texas and if utilized in cultivated landscapes it would probably be wise to use seedlings from the regional variety.,High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Chinese Photinia,0,Photinia serratifolia   (Photinia serrulata),"sun, partial sun",9,"Chinese Photinia is a large old-fashioned evergreen shrub or small tree that is finding revived popularity in Texas landscapes. Dark glossy green coarse textured foliage, creamy white spring flowers, and clusters of small red pomes attractive from late summer to winter are the primary assets. Even larger statured than Photinia x fraseri which limits its usefulness on small lots. Flowers are considered malodorous by some people.","Shrub, large shrub, tree, small tree",Creamy white,Spring,Clusters fo red-like berries,210,150,8,"Very site adaptable and has escaped cultivation in some Texas locales. Chinese Photinia is cotton root rot and powdery mildew susceptible, but is more resistant to Entomosporum leaf spot than Photinia x fraseri.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Water Lotus,0,Nelumbo spp.,"sun, partial sun",8.2,"Water Lotus is an aggressive perennial used in Texas water gardens. Most Nelumbo spp. have large roundish leaves that are held emergent to several feet above the water. Nelumbo lutea has large 6 inch to 10 inch diameter yellow flowers, other species blue to pink. Creates a very tropical look. Works well in barrel water gardens.","Warm season annual, perennial","Yellow, blue, pink","Summer, fall",Ornamental woody capsule,0,41,8,Can readily become a noxious weed in soil bottom water features; difficult to eradicate once established.,High Heat Tolerance,High Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Pond Baldcypress,0,Taxodium ascendens (Taxodium distichum var. imbricarium),"sun, partial sun",8.2,"Pond Baldcypress is a narrowly pyramidal to conical deciduous coniferous tree that is closely related to the Common Baldcypress (Taxodium distichum var. distichum). Pond Baldcypress differs from the Common Baldcypress in being more narrow of crown, slightly shorter, having awl-shaped leaves, and tending to grow in standing water rather than areas with periodic flooding. Pond Baldcypress may be useful in areas with narrow crown space or where frequent flooding or wet soils are a problem. This species may develop attractive bronze to brown fall colors.","Tree, medium tree, large tree","None, cone bearing.",Spring,Small globose woody cones that tend to fall apart at maturity.,297,180,7,"Prone to chlorosis on high pH soils; Spider mites, bagworms and gall mites can be occasional problems.",High Heat Tolerance,High Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Myrtle,0,Myrtus communis,"sun, partial sun",8.2,"This fine textured evergreen species will mature as an upright oval small tree, but is often maintained as a small to medium sized shrub. White to pink spring flowers are followed by globose blue-black like berries. Myrtle is a good heat, drought, and salt tolerant substitute for Boxwoods (Buxus spp.).","Shrub, small shrub, medium shrub, large shrub, tree, small tree, topiary, tropical",Small 3 to 7 flowered cymes of fragrant flowers.,"Spring, summer",Blue-black elongated globose berries.,79,78,5,"Scale insects and sooty mold can be a problem; root rots, thrips, and spider mites can also be a problem.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Low Pest Resistance,Low Fertility Requirements
Pride-Of-Barbados,0,Caesalpinia pulcherrima,sun,8.2,"Pride-Of-Barbados is an audacious shrub in tropical climates and can be used as a summer accent or patio plant in cooler climates. The showy terminal panicles, borne season long, are one of the best of the tropical Poinciana. A frequently planted shrub in deep South Texas.","Annual, small shrub, medium shrub, large shrub, small tree, tropical","Red, yellow, and some orange, 5 inch to 20 inch long terminal panicles","Spring, summer, fall","Pod, not ornamental, reportedly poisonous",54,21,6,"Can be root hardy into 8b or 9a, stems only into 9b or warmer. Requires well drained soils, cotton root rot susceptible; tolerates reflected heat, drought, and seashore conditions. Can become a weed problem.",High Heat Tolerance,High Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Baldcypress,0,Taxodium distichum var. distichum,sun,8.2,"Common Baldcypress is a widely planted shade and street tree in Texas. This deciduous conifer has soft layered branchlets with needle-like leaflets that turn from dark green to bronze or rich brown in autumn. Common Baldcypress is native to swamps and can tolerate standing water or rather dry sites once established. The famous ""knees"" are produced in wet areas or when planted near water features. This beautiful tree develops a narrow pyramidal crown in youth that becomes classically flat-topped and windsweep with age. The fluted trunk becomes highly butressed in old age; very durable and valuable timber; very long lived, to 1000 years plus?","Tree, medium tree, large tree","Females inconspicuous, males in yellow-brown catkins in late winter or early spring, mildly interesting","Spring, winter","Globose resinous cones, green truning brown",720,390,7,"Drought tolerant, but tends to drop foliage; likewise very tolerant of salt in the root zone, but relatively intolerant of salt on the foliage; prone to chlorosis on high pH soils; often listed as slow growing, but is actually a rapid grower if fertility is good and water is available; can grow in standing water, but best growth is on rich moist well drained soils.",High Heat Tolerance,High Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Narrowleaf Cattail,0,Typha angustifolia,"sun, partial sun, shade",8.2,Narrowleaf Cattails are native herbaceous perennial wetland plants. Cattails lend a useful purpose in stablizing water courses from erosion and add a vertical form to the landscape. The odd flowers/fruits of this species resemble large dark brown fuzzy corndogs on sticks.,Perennial,Brown,Summer,Fuzzy brown bottlebrush like spike,90,18,8,"Grow in almost any soil, moderately dry to standing water.",High Heat Tolerance,High Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Japanese Euonymus,0,Euonymus japonicus,"sun, partial sun",8.2,"Japanese Euonymus is a highly variable species of small to medium size shrubs. Most have stiffly upright growth habits. Leaves vary from small boxwood-like to large thick rubbery leaves. The leaves are dark green or variegated white, creamy white, to yellow. Plants tend to be rather disease prone and short-lived.","Shrub, small shrub, medium shrub, topiary","Perfect, whitish green to yellow-green, not ornamental.",Spring,Small dehiscent woody capsulescovering an aril.,60,48,None,"Prone to scale, aphid, white fly, powdery mildew, leaf spot, and anthracnose infestations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,Low Pest Resistance,Low Fertility Requirements
Larkspur,0,Consolida ambigua,"sun, partial sun",8.01,"Larkspur is a cool season annual that was popular in the past for spring color; blue, purple-blue, white, and pink. Sometimes included in wildflower mixes, or used as a cut flower. Tends to reseed producing a moving stand of spring color in the spring border. Seedlings begin germinating in the fall in the southern two-thirds of the state.","Cool season annual, transition season annual","Tall spikes of blue, purple-blue, white, pink, singles or doubles.",Spring,"Not ornamental, allow some to mature to reseed for next year",36,18,9,"Tolerant of most well drained sites, tends to migrate in the garden to sunnier locations over time. Old fashioned singles reseed more reliably than doubles or ""perennial lines"".",High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Panicled Goldenraintree,0,Koelreuteria paniculata,sun,8,"Panicled Goldenraintree is an excellent small to medium size deciduous shade tree. The medium textured dark green foliage contrasts with the late spring to early summer terminal panicles of yellow flowers. The tree forms an umbrella-like canopy and develops a good yellow to orange fall color. The panicles of Japanese-lantern like fruit capsules go from light green to orange-tan to rich brown in summer and fall, eventually becoming black-brown in winter. Old specimens tend to develop a corky bark.","Small tree, medium tree","Yellow, attractive panicles","Spring, summer",Three chambered papery capsule containing small hard black seeds,300,300,8,"Winter chilling tends to be inaddequate for vigorous growth in southern portions of USDA zone 8 and into 9; tolerates most soils, drought, wind, air pollution, cold, and some heat; better tree in USDA zones 8a and north than Koelreuteria bipinnata.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Common Sassafras,0,Sassafras albidum,"sun, partial sun",8,"Common Sassafras is a medium to large shade tree native to Eastern North America including prtions of East and Central Texas. The aromatic leaves are a blue-green to green color in summer and turn beautiful reds, yellows, and oranges in the fall. Trees often sucker to form colonies.","Medium tree, large tree","Yellow to yellow-green, interesting, but not particularly showy",Spring,"Pea-sided blue-black berry-like drupe on a 2 inch long red to pink pedestal-shaped pedicel, mildly showy",540,480,8,"A tough tree once established, but a coarse root system inhibits successful transplanting. The roots are sometimes used to make sassafras tea, which is reportedly carcinogenic. The fruit, fall color, corky bark, and sympodial branching structure can be ornamental.",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Pear,0,Pyrus communis,sun,8,"Common Pears are typically the source of commercial edible pears. Cultivars that are not susceptible to fireblight can be persistent at old homesteads in Texas. Unfortunately many of the most popular modern cultivars are highly susceptible to fireblight and do not make good landscape plants. The fruit can be a culinary plus, but a minus in the landscape from a maintenance standpoint. Spring flowering can be very attractive.","Tree, small tree, medium tree","White, attractive en masse",Spring,"Edible pears, range in shapes and sizes, mostly yellow, brown, or red at maturity.",300,240,9,Sometimes naturalized locally; some clones are among the earth's oldest cultivated plants; less susceptible to limb breakage than Pyrus calleryana.,High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Indian Hawthorns,0,Raphiolepis spp.,"sun, partial sun",8,"Indian hawthorns are striking broadleaved evergreens valued for their dark green leaves and pink or white spring blossoms. Most of the available cultivars in the Texas nursery trade will fall into one of two species, Raphiolepis umbellata or Raphiolepis indica, or their hybrid, Raphiolepis x delacourii. Most cultivars are billowing mounds that are as or more broad than tall. Indian hawthorns are reliably cold hardy in USDA zone 8, but are frequently planted into zone 7.","Groundcover, shrub, small shrub, medium shrub, topiary",Pink to white,Spring,"Small blue-black berries, mildly interesting summer / fall",60,72,8,"Fairly drought tolerant once established, but will ned some irrigation during dry periods. Can tolerate moderate levels of salt and pollution. Intolerant of poorly drained soils. Plant only resistant cultivars as Entomosporum leaf spot can be devastating on susceptible genotypes in Texas.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Common Mulberry,0,Morus alba,"sun, partial sun",8,"Common Mulberry is utilized in landscapes as grafted weeping or fruitless clones, but it is a widely escaped shrub or tree of waste areas and roadsides. Mature plants can become medium size trees and can be useful in difficult sites such as prairie plantings and windbreaks. The edible fruit is a favorite of widelife and can easily stain walkways, clothing, etc. Their winter habit is not an asset.","Small tree, medium tree","Green to yellowish green, not ornamental",Spring,"Syncarp, a fleshy aggregate of drupes, ripening white-green, pink-red, or purple-black, edible",420,420,10,"Although highly adapted to a range of environments, trees are often short-lived. Birds relish the fruit, which is cathartic, creating additional maintenance problems.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Leyland Cypress,0,X Cupressocyparis leylandii,"sun, partial sun",8,"Leyland Cypress is an strongly upright growing large evergreen shrub to medium size tree with scale-like green to blue-green foliage. Useful as a tall screen, but often planted in situations in which it rapidly overgrows the intended site.","Shrub, large shrub, upright conifer, tree, small tree, medium tree, topiary",None cone-bearing.,Spring,"Tiny globose woody cones, seldom produced.",480,138,8,"Trunk canker, twig blight, and bagworm infestations have all proven damaging as plants were overused. Use in moderation.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Russell's Hybrid Lupines,0,Lupinus x polyphyllus,"sun, partial sun",8,"Russell's Hybrid Lupines are the typical Lupinus taxon encountered in cooler Northern climates. These hybrids are derived from several species resulting in a wide range of flower colors. Unfortunately, these cultivars do not generally perform well in Texas. Use of one of the six or more native Texas species is recommended as an alternative.",Perennial,Wide range of colors,Spring,Not ornamental,1,18,8,Not suitable for use as a perennial in Texas.,Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Douglasfir,0,Pseudotsuga menziesii,sun,8,"Actually a native Texas tree, but only to high elevation locales in the Guadelupe and Chisos Mountains. Useful only in similar environments in high elevation West Texas gardens. A common landscape plant in the western USA, and to a more limited extent in the Midwest and Northeastern USA. One of our most important western timber species. Where adapted douglasfir also makes a handsome conical evergreen tree with aromatic needles of medium to dark green or blue-green color.","Upright conifer, tree, medium tree, large tree",Not ornamental,Spring,Small woody cones,300,96,7,"The Rocky Mountain Douglasfir (Pseudotsuga menziesii var. glauca) is smaller, more drought and cold tolerant, and tends to have blue-green needles compared to the Coastal Douglasfir (Pseudotsuga menziesii var. menziesii).",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
"American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Alligator Tree, Bilsted, Satin Walnut",0,Liquidambar styraciflua,sun,8,"American Sweetgum is a widely distributed large deciduous tree native to the Southeastern USA. It has an attractive narrowly pyramidal form in youth becoming a more oval crown with age. The five-lobed, nearly star-shaped, dark glossy green leaves turn wonderous combinations of yellow, orange, red, and purple in autumn. Woody satellite-like capsules are a maintenance liability.","Tree, medium tree, large tree","Green, not ornamental",Spring,Spherical woody capsule with dehiscent pointed protuberances.,600,300,7,The woody capsules are a maintenance liability. Trees are prone to iron chlorosis on neutral to alkaline soils.,Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Bougainvillea Goldenraintree or Chinese Flame Tree,0,Koelreuteria bipinnata,sun,8,"Bougainvillea Goldenraintree is a showy small to medium size deciduous shade tree for warm temperate to subtropical climates. It is similar to Koelreuteria paniculata (Panicled Goldenraintree) except that it is more upright oval in form, less cold hardy, more heat tolerant,  requires less winter chilling, and is more showy in flower and fruit.","Small tree, medium tree",Large yellow terminal panicles in summer,Summer,"Showy papery capsules, light green, pink, tan, and then brown",360,300,8,Most serious problem is limited cold hardiness in Central and North Texas; form is less uniform and pleasing than with K. paniculata; tends to be weedy.,High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Scarlet Firethorn,0,Pyracantha coccinea,"sun, partial sun",8,"Scarlet Firethorn is a medium to large semi-evergreen to evergreen shrub. The fine textured leaves, white to creamy white spring flowers,and shiny red, red-orange, orange, or yellow fall and winter fruit effect combine for year-round interest. The form is a bit erratic unless shaped. Excellent plant for espaliers. Fall and winter fruit effects can be outstanding.","Shrub, medium shrub, large shrub, topiary","White to creamy white, sometimes malodorous",Spring,"Large clusters of shiny red, orange or yellow berries, good fall / winter effects",41,72,7,"Adaptable as long as soils are well drained and not extremely droughty or alkaline. Like many plants in the Rosaceae, Scarlet Firethorn is subject to several disease and pest problems including: fireblight (serious), cotton root rot, lace bugs, spider mites, aphids, white flies, sooty mold, and apple scab on the fruit. Pyracantha koidzumii is probably a better plant for hot arid environments.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Hawthorn,0,Crataegus spp.,"sun, partial sun",8,"Hawthorns are a genus of native and introduced small trees with attractive white spring flowers and usually a refined single to multi-stemmed short habit that fits well under power lines and in smaller urban lots. Unfortunately, a number of diseases such as cedar apple rust and fire blight can be damaging. Some species have thorns, others are nearly unarmed. Most produce attractive summer to autumn fruit, typically red to orange, which is edible on some species.","Large shrub, small tree","White to pink, mostly white",Spring,"Small pome-like drupe, resembles a miniature apple, yellow, orange, or red",210,210,None,"A taxonomically confused genus with 7 to 25 species native to Texas, depending upon which authority to which you subscribe; many species with landscape potential for Texas, representing an untapped resource.",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Trumpetcreeper,0,Campsis grandiflora,"sun, partial sun",8,"A moderately vigorous deciduous introduced vine with similar but larger, more red-orange flowers than those of Campsis radicans. Not as prone to engulf the site as C. radicans. Less seldom encountered in the Texas nursery trade than its hybrids with C. radicans.",Vine,"Red-orange, large trumpets, larger than those of Campsis radicans","Summer, fall","Two-valved capsule, not ornamental",240,240,7,Durable once established; reportedly difficult to propagate from cuttings.,High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Wisteria,0,Wisteria sinensis,"sun, partial sun",8,"Chinese Wisteria is a vigorous twining deciduous vine with coarse textured dark green pinnate leaves. The beautiful spring flowers hang in clusters like grapes up to 12 inch long. Suitable for large structures where twining is possible, cannot climb vertical walls readily unless provided with supports. Wisteria floribunda (Japanese Wisteria) is similar, but with longer flower panicles, larger leaves, and purple, white or pink flowers.",Vine,"Lilac-purple or white, fragrant, pendulous clusters 6 inch to 12 inch long",Spring,"Pod, not ornamental",0,0,7,"Similar tough durable vine as Campsis radicans, but with an alternative flowering time and colors. Aphids can be an occasional problem, tends to require substantial pruning to maintain appearances. Can damage trees with constrictive twining.",High Heat Tolerance,Low Water Use,Medium Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Formosa Firethorn,0,Pyracantha koidzumii,"sun, partial sun",8,"Formosa Firethorn is a medium to large evergreen shrub planted for is foliage, spring flowers, and most importantly fall to winter fruit effect. The red to red-orange fruit are very attractive. Frequently hybridized with Pyracantha coccinea.","Medium shrub, large shrub, topiary",White to creamy white,Spring,"Small red, orange, yellow berries, excellent fall / winter fruit effect",29,84,7,"Very similar in site requirements to Pyracantha coccinea, but more heat tolerant and less cold tolerant. Formosa Firethorn needs a sheltered location in USDA zone 7. It also tends to be somewhat larger and coarser textured than Pyracantha coccinea.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Plains Coreopsis or Tick-Seed,0,Coreopsis tinctoria,"sun, partial sun",8,"Plains Coreopsis is a native Texas wildflower that is beginning to be planted in cultivated landscapes. This weak perennial or transition season annual offers spring to early summer yellow, orange, red, or two-tone flowers resembling miniature sunflowers. Flowers are produced profussely on the fine-textured upright oval crown emerging from a tight rosette of spring foliage. Plants typically decline once the summer heats up.","Transition season annual, perennial","Yellow, orange, red, bicolors","Spring, summer","Achenes, not ornamental",9,30,10,"Easily grown on most well drained soils; tends to become weedy on good sites; beautifull effect, but short-lived.",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
